id,pop,lat,lon,sex,maturity
AA018658,EmmacClarJack,-29.549,152.6646667,Male,Adult
AA011729,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
UC_0132,EmmacClarYate,-29.051253,152.5898,Female,Adult
UC_0137,EmmacClarYate,-29.051253,152.5898,Female,Adult
UC_0143,EmmacClarYate,-29.051253,152.5898,Female,Adult
UC_0157M,EmmacClarYate,-29.051253,152.5898,Male,Adult
UC_0161M,EmmacClarYate,-29.051253,152.5898,Male,Adult
AA018637,EmmacClarJack,-29.549,152.6646667,Female,Adult
AA018638,EmmacClarJack,-29.549,152.6646667,Male,Adult
AA018639,EmmacClarJack,-29.549,152.6646667,Male,Adult
AA011731,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA033576,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033577,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA011732,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011737,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011741,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011744,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011745,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011746,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011749,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA033575,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033578,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033579,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033582,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033593,EmmacBrisWive,-27.4444,152.6246,Male,Adult
AA033602,EmmacBrisWive,-27.4444,152.6246,Male,Adult
AA033609,EmmacBrisWive,-27.4444,152.6246,Male,SubAdult
AA033617,EmmacBrisWive,-27.4444,152.6246,Male,Adult
AA19158,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA20379,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
UC_1044,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA18380,EmmacTweeUki,-28.41666667,153.3333333,Male,SubAdult
AA18371,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA19159,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA20378,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
UC_1060,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA18379,EmmacTweeUki,-28.41666667,153.3333333,Male,SubAdult
AA18365,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA19160,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA20377,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
UC_1053,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA18375,EmmacTweeUki,-28.41666667,153.3333333,Male,Adult
AA19165,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA19161,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA20376,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
UC_1062,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA18374,EmmacTweeUki,-28.41666667,153.3333333,Male,Adult
AA004523,EmmacMaryBoru,-26.525889,152.564997,Female,Adult
AA19164,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA20375,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
AA18373,EmmacTweeUki,-28.41666667,153.3333333,Male,Adult
AA32875,EmmacMaryPetr,-25.7177,152.5755,Female,Adult
AA19163,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA20374,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
AA18368,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA32878,EmmacMaryPetr,-25.7177,152.5755,Female,SubAdult
AA19162,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA20365,EmmacNormSalt,-14.782408,143.502336,Male,Adult
UC_150,EmmacMaclGeor,-30.724008,152.193528,Female,Adult
AA18369,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA32880,EmmacMaryPetr,-25.7177,152.5755,Female,Adult
AA19156,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA20371,EmmacNormLeic,-15.25861111,144.6127778,Male,Adult
UC_1051,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA18370,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA32882,EmmacMaryPetr,-25.7177,152.5755,Female,Adult
AA19157,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA19075,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004864,EmmacFitzAllig,-23.16568333,150.38575,Male,Adult
AA19071,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004868,EmmacFitzAllig,-23.16568333,150.38575,Female,Adult
AA19083,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA19072,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004869,EmmacFitzAllig,-23.16568333,150.38575,Female,Adult
AA19082,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA19073,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004866,EmmacFitzAllig,-23.16568333,150.38575,Female,Adult
AA19077,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA19080,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA19079,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004862,EmmacFitzAllig,-23.16568333,150.38575,Male,Adult
AA19078,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA004863,EmmacFitzAllig,-23.16568333,150.38575,Male,Adult
UC_267,EmvicVictJasp,-16.031181,130.697404,Female,Adult
UC_205,EmsubRopeMata,-14.925118,133.134897,Male,Adult
UC_206,EmsubRopeMata,-14.925118,133.134897,Female,SubAdult
UC_208,EmsubRopeMata,-14.925118,133.134897,Male,Adult
UC_243,EmvicVictJasp,-16.031181,130.697404,Male,Adult
UC_209,EmsubRopeMata,-14.925118,133.134897,Male,Adult
UC_254,EmvicVictJasp,-16.031181,130.697404,Male,Adult
UC_210,EmsubRopeMata,-14.925118,133.134897,Female,Adult
UC_259,EmvicVictJasp,-16.031181,130.697404,Female,Adult
AA63718,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA63720,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA63722,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA63726,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA63732,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA63708,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA63710,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA63712,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA63714,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA63716,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA20735,EmmacMDBGwyd,-29.8595,150.5812,Male,Adult
AA32442,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA32441,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA20749,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA20746,EmmacMDBGwyd,-29.8595,150.5812,Male,SubAdult
AA20744,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA20743,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA20739,EmmacMDBGwyd,-29.8595,150.5812,Male,Adult
AA20738,EmmacMDBGwyd,-29.8595,150.5812,Male,Adult
AA1452,EmmacCoopCully,-27.700626,140.843321,Male,Adult
